"work_id","Primary_NAICS_Code","size","employees","FIPS","LAT","LON"
21586,72251505,"5-24",6,"37021",35.486822,-82.554208
21589,56173009,"1-4",3,"37021",35.597954,-82.465547
21597,72251117,"5-24",21,"37021",35.57908,-82.584498
21800,23821038,"1-4",1,"37021",35.723801,-82.559128
21801,62111107,"5-24",7,"37021",35.497679,-82.523378
23790,62111107,"1-4",2,"37021",35.586829,-82.555883
23795,72131006,"1-4",1,"37021",35.591815,-82.553435
23797,53121005,"1-4",3,"37021",35.604,-82.357627
23798,62121003,"1-4",4,"37021",35.579952,-82.563947
23799,52211001,"1-4",4,"37021",35.524228,-82.413272
28403,54161830,"1-4",3,"37021",35.608501,-82.566891
28405,72251117,"1-4",3,"37021",35.671468,-82.583253
28412,72111002,"5-24",15,"37021",35.563078,-82.633135
28413,44719010,"1-4",2,"37021",35.481943,-82.570462
28417,44314227,"5-24",14,"37021",35.588896,-82.501539
28421,72111002,"25-99",69,"37021",35.484313,-82.557099
28422,44419069,"1-4",3,"37021",35.464275,-82.517477
28428,72251117,"5-24",22,"37021",35.596236,-82.552397
28429,56172001,"1-4",2,"37021",35.5336,-82.6957
28433,92112007,"25-99",34,"37021",35.60132,-82.62184
28438,42445010,"5-24",14,"37021",35.480439,-82.578325
28439,81111104,"5-24",6,"37021",35.561744,-82.636926
28447,72251117,"25-99",45,"37021",35.595451,-82.533308
28454,71399020,"5-24",24,"37021",35.461833,-82.594494
28455,44412003,"1-4",2,"37021",35.482243,-82.53717
28456,72251117,"25-99",99,"37021",35.597086,-82.532883
28457,62199952,"1-4",4,"37021",35.465208,-82.517977
28467,72251115,"5-24",8,"37021",35.673588,-82.580566
28468,62199921,"5-24",13,"37021",35.469793,-82.523597
28477,54194002,"5-24",18,"37021",35.64848,-82.574385
28478,54181001,"1-4",3,"37021",35.599194,-82.542768
28480,54111002,"1-4",3,"37021",35.452426,-82.524828
28485,72251117,"5-24",14,"37021",35.584272,-82.468255
28492,44814001,"1-4",2,"37021",35.582929,-82.524976
28495,44523001,"1-4",1,"37021",35.555183,-82.597228
28496,53111002,"1-4",1,"37021",35.463757,-82.511757
29004,72251117,"5-24",17,"37021",35.578122,-82.579823
29010,81221002,"5-24",6,"37021",35.534427,-82.519608
29011,62411011,"1-4",2,"37021",35.760167,-82.430181
29014,44611009,"5-24",10,"37021",35.577512,-82.582143
29016,23611505,"1-4",3,"37021",35.472105,-82.570083
29022,72251117,"5-24",9,"37021",35.595554,-82.556638
29029,54111002,"1-4",4,"37021",35.616774,-82.322588
29030,72251117,"25-99",45,"37021",35.591435,-82.532132
29038,72251117,"5-24",21,"37021",35.598806,-82.553829
29040,54192204,"1-4",1,"37021",35.611795,-82.546746
29046,72111002,"100-499",173,"37021",35.597583,-82.550051
29054,45321007,"5-24",12,"37021",35.60123,-82.552908
29055,42361038,"5-24",12,"37021",35.572277,-82.524417
29062,72111002,"5-24",10,"37021",35.587537,-82.528676
29069,72251505,"5-24",15,"37021",35.595622,-82.53547
29070,23832003,"1-4",2,"37021",35.587655,-82.501605
29073,72251117,"1-4",4,"37021",35.519169,-82.404111
29078,53211101,"1-4",3,"37021",35.586408,-82.5133
29080,56173002,"1-4",2,"37021",35.6015,-82.3118
29086,72251117,"5-24",6,"37021",35.598552,-82.553802
29090,23622005,"1-4",3,"37021",35.52369,-82.412233
29093,44314241,"5-24",8,"37021",35.458699,-82.737442
29095,72251117,"25-99",50,"37021",35.555183,-82.597228
29097,71391002,"5-24",20,"37021",35.637467,-82.5539
29100,72251117,"100-499",143,"37021",35.590559,-82.52881
29114,56173009,"1-4",2,"37021",35.579061,-82.682921
29119,62149301,"5-24",10,"37021",35.556133,-82.642402
29158,44529202,"1-4",2,"37021",35.471559,-82.494282
29169,72251117,"25-99",99,"37021",35.613207,-82.329137
29185,81211202,"1-4",2,"37021",35.609581,-82.345184
29187,99999004,"1-4",1,"37021",35.614561,-82.438627
29404,99999004,"1-4",1,"37021",35.507722,-82.653773
29415,81311008,"1-4",2,"37021",35.5282,-82.3948
29445,99999004,"1-4",2,"37021",35.463926,-82.50234
29483,53113001,"1-4",1,"37021",35.71677,-82.598341
29605,81331908,"1-4",2,"37021",35.531707,-82.41576
29609,72111002,"5-24",22,"37021",35.533503,-82.605071
29610,56171009,"1-4",2,"37021",35.592999,-82.590148
29639,72111002,"5-24",12,"37021",35.588681,-82.528817
29642,44422008,"5-24",7,"37021",35.45621,-82.523444
29645,33261805,"1-4",1,"37021",35.55127,-82.505879
29649,54199009,"5-24",5,"37021",35.463084,-82.511765
29651,53231003,"1-4",3,"37021",35.547654,-82.516746
29652,72251115,"5-24",15,"37021",35.566235,-82.51046
29659,53111004,"5-24",6,"37021",35.507913,-82.525921
29662,44422008,"5-24",5,"37021",35.703398,-82.578914
29664,72119101,"1-4",4,"37021",35.603421,-82.549981
29668,81291007,"1-4",1,"37021",35.511611,-82.605415
29671,32199901,"1-4",1,"37021",35.607898,-82.389448
29677,72251117,"25-99",29,"37021",35.595961,-82.555353
29678,56171009,"1-4",1,"37021",35.5441,-82.5334
29685,53121003,"1-4",1,"37021",35.617257,-82.53423
29687,23822025,"1-4",4,"37021",35.477404,-82.434908
29689,45331008,"5-24",6,"37021",35.571373,-82.504963
