"work_id","Primary_NAICS_Code","size","employees","FIPS","LAT","LON"
21198,72121101,"1-4",2,"37005",36.396332,-81.231598
25073,54143006,"1-4",1,"37005",36.5053,-81.1231
26769,72121403,"25-99",56,"37005",36.401279,-81.016281
26977,62161001,"5-24",8,"37005",36.520749,-81.133168
28709,62111107,"1-4",4,"37005",36.509476,-81.114811
29149,44511003,"1-4",3,"37005",36.427272,-81.240428
29184,81311008,"1-4",1,"37005",36.444341,-81.215447
29191,62133003,"1-4",1,"37005",36.512867,-81.120053
29259,61169914,"1-4",1,"37005",36.398336,-81.206547
29376,99999004,"5-24",5,"37005",36.554745,-81.332329
29428,45399821,"5-24",5,"37005",36.518718,-81.117304
29957,54161125,"1-4",4,"37005",36.499978,-80.976648
30747,99999004,"1-4",1,"37005",36.468283,-81.061356
31123,99999004,"5-24",5,"37005",36.560146,-80.943671
31495,72251117,"1-4",4,"37005",36.521196,-80.951023
31531,62139923,"1-4",1,"37005",36.500439,-81.110525
32018,52211001,"1-4",3,"37005",36.5053,-81.1231
32147,52421001,"1-4",4,"37005",36.508789,-81.127432
32166,52229813,"1-4",3,"37005",36.491539,-81.105293
32276,62111107,"1-4",3,"37005",36.508697,-81.115124
32284,62111107,"1-4",3,"37005",36.508697,-81.115124
32315,61111005,"5-24",20,"37005",36.511816,-81.122519
32510,44511003,"1-4",1,"37005",36.505958,-81.118209
32543,52421001,"1-4",4,"37005",36.504053,-81.119615
32544,99999004,"1-4",2,"37005",36.488799,-81.07505
32805,51821013,"1-4",2,"37005",36.505429,-81.121212
33008,31199901,"5-24",24,"37005",36.502665,-81.122336
33326,72232001,"1-4",1,"37005",36.504086,-81.182353
33383,81111111,"5-24",5,"37005",36.5053,-81.1231
33544,49111001,"1-4",4,"37005",36.551037,-81.287795
33549,92216003,"5-24",24,"37005",36.549191,-81.303311
33571,81341004,"5-24",13,"37005",36.3899,-80.9929
33578,23611505,"1-4",4,"37005",36.4513,-81.007
33944,72111002,"5-24",12,"37005",36.392581,-81.245602
33961,81311008,"1-4",3,"37005",36.505958,-81.118209
34272,81211202,"1-4",1,"37005",36.560438,-80.945155
34297,45111023,"1-4",1,"37005",36.496369,-81.152312
34508,81311008,"1-4",1,"37005",36.495127,-81.258862
34522,92112008,"25-99",68,"37005",36.497431,-81.115326
34529,52211002,"1-4",4,"37005",36.5053,-81.1231
34536,92112007,"5-24",20,"37005",36.508616,-81.115652
34551,92112007,"1-4",4,"37005",36.501355,-81.117027
34556,92212003,"5-24",11,"37005",36.501938,-81.117482
34567,22131003,"5-24",24,"37005",36.501938,-81.117482
34570,54137002,"1-4",1,"37005",36.5053,-81.1231
34581,42491007,"1-4",2,"37005",36.502479,-81.1154
34589,56211901,"1-4",4,"37005",36.514503,-81.119197
34597,81311008,"1-4",3,"37005",36.507968,-81.122805
34642,56111022,"5-24",5,"37005",36.544787,-81.106016
34672,53212016,"1-4",2,"37005",36.5053,-81.1231
34878,48423013,"1-4",3,"37005",36.563351,-81.338969
35158,92113002,"1-4",4,"37005",36.501355,-81.117027
35403,45431010,"5-24",5,"37005",36.5053,-81.1231
35413,92112007,"25-99",33,"37005",36.506648,-81.120275
35421,92112009,"1-4",2,"37005",36.504141,-81.120051
35429,22112202,"5-24",8,"37005",36.487546,-81.096904
35434,62431008,"5-24",12,"37005",36.5053,-81.1231
35444,72251117,"5-24",7,"37005",36.5053,-81.1231
35459,92112007,"1-4",2,"37005",36.506648,-81.120275
35461,62191002,"5-24",9,"37005",36.5053,-81.1231
35470,23622005,"1-4",1,"37005",36.5053,-81.1231
35476,81391005,"1-4",4,"37005",36.504618,-81.120598
35481,33999936,"5-24",6,"37005",36.489079,-81.098649
35490,92112008,"5-24",9,"37005",36.504141,-81.120051
35495,81221002,"5-24",11,"37005",36.491487,-81.120744
35530,44112005,"1-4",2,"37005",36.4961,-81.106644
35558,72121101,"1-4",1,"37005",36.527343,-81.334828
35753,62199921,"1-4",4,"37005",36.491912,-81.146163
35764,23835002,"1-4",4,"37005",36.491539,-81.105293
35829,81211202,"1-4",3,"37005",36.521943,-80.99115
35852,99999004,"1-4",1,"37005",36.398198,-80.986284
36304,81211202,"1-4",4,"37005",36.500439,-81.110525
36310,92112007,"1-4",1,"37005",36.491912,-81.146163
36318,62191002,"5-24",9,"37005",36.5053,-81.1231
36325,92112007,"1-4",3,"37005",36.5053,-81.1231
36335,33331841,"100-499",102,"37005",36.526476,-81.064587
36340,11531005,"1-4",4,"37005",36.492682,-81.120264
36350,52421001,"1-4",3,"37005",36.5053,-81.1231
36354,81311008,"5-24",11,"37005",36.502806,-81.118488
36385,53111002,"1-4",1,"37005",36.51068,-81.120904
36391,99999004,"1-4",3,"37005",36.505958,-81.118209
36392,44512001,"1-4",4,"37005",36.50843,-81.124715
36400,81311008,"1-4",1,"37005",36.5053,-81.1231
36475,44831013,"1-4",4,"37005",36.412357,-81.263368
36579,71395001,"1-4",1,"37005",36.5053,-81.1231
36754,62141005,"1-4",4,"37005",36.5053,-81.1231
36843,62111107,"1-4",3,"37005",36.509476,-81.114811
36903,45399876,"1-4",3,"37005",36.5053,-81.1231
37083,81112102,"1-4",2,"37005",36.526672,-81.094116
37093,72251117,"5-24",12,"37005",36.560888,-80.94307
37134,62161001,"5-24",11,"37005",36.501291,-81.115792
37515,44411001,"5-24",9,"37005",36.44534,-81.022694
37537,23731004,"1-4",2,"37005",36.518303,-81.144393
38142,32121402,"25-99",37,"37005",36.479214,-81.07692
38326,81311008,"1-4",4,"37005",36.482103,-81.121141
38872,23721005,"1-4",4,"37005",36.478409,-81.123974
39436,52211001,"1-4",2,"37005",36.470806,-81.058701
40786,92313002,"5-24",17,"37005",36.508616,-81.115652
40799,54121101,"5-24",5,"37005",36.503129,-81.125244
40807,54111002,"1-4",1,"37005",36.504828,-81.119327
40813,81112102,"1-4",2,"37005",36.505865,-81.11957
40823,44112005,"1-4",2,"37005",36.531011,-81.159551
40841,81149058,"1-4",1,"37005",36.5053,-81.1231
41160,81119804,"1-4",1,"37005",36.521528,-80.991342
41617,11212002,"5-24",11,"37005",36.555532,-81.173818
41802,72251117,"1-4",1,"37005",36.501882,-81.114605
41809,45331041,"1-4",3,"37005",36.504101,-81.124069
41830,72251117,"1-4",3,"37005",36.500439,-81.110525
42821,44831012,"1-4",3,"37005",36.501882,-81.114605
43094,81211202,"1-4",4,"37005",36.501412,-81.117977
44101,92112009,"5-24",9,"37005",36.557144,-80.90918
44497,45399821,"1-4",2,"37005",36.466213,-81.09828
44509,81311008,"1-4",1,"37005",36.495913,-81.139809
44521,45299006,"1-4",1,"37005",36.5053,-81.1231
44533,72251117,"5-24",24,"37005",36.503758,-81.119899
44546,44419067,"5-24",14,"37005",36.500281,-81.127006
44803,52211001,"1-4",2,"37005",36.481257,-81.086681
45783,81311008,"1-4",4,"37005",36.503285,-81.119058
45978,45113007,"1-4",1,"37005",36.502054,-81.112467
46385,52213003,"5-24",10,"37005",36.5053,-81.1231
46816,44131011,"1-4",1,"37005",36.5053,-81.1231
47076,44422012,"1-4",1,"37005",36.466213,-81.09828
47370,99999004,"1-4",4,"37005",36.544932,-81.301394
48004,52211001,"1-4",2,"37005",36.5053,-81.1231
48095,62111107,"1-4",3,"37005",36.509476,-81.114811
48605,52211001,"5-24",20,"37005",36.491539,-81.105293
49430,54199002,"1-4",1,"37005",36.508828,-81.125059
49443,92112007,"1-4",4,"37005",36.501355,-81.117027
49493,81341003,"1-4",1,"37005",36.5053,-81.1231
49610,62131002,"1-4",3,"37005",36.499065,-81.110053
49621,92112007,"5-24",11,"37005",36.501355,-81.117027
50022,51711006,"5-24",5,"37005",36.50848,-81.12051
50023,44421004,"1-4",1,"37005",36.476308,-81.25417
50069,45399821,"1-4",4,"37005",36.377674,-81.241096
50319,53121003,"1-4",2,"37005",36.480833,-81.085733
50598,23832003,"1-4",1,"37005",36.515929,-81.307477
50612,81211202,"1-4",1,"37005",36.503756,-81.125292
50626,44411001,"5-24",10,"37005",36.511061,-81.12989
50652,23822025,"1-4",2,"37005",36.468245,-81.093912
50761,53121003,"1-4",2,"37005",36.480833,-81.085733
51440,52211001,"1-4",4,"37005",36.500693,-81.111926
51789,23611512,"1-4",2,"37005",36.520467,-81.11858
51792,62419012,"5-24",7,"37005",36.5053,-81.1231
51827,44511003,"1-4",4,"37005",36.494345,-81.106322
51829,56199001,"1-4",4,"37005",36.550076,-81.058196
52092,44511003,"1-4",1,"37005",36.5053,-81.1231
52454,54143006,"1-4",1,"37005",36.512867,-81.120053
52508,52211001,"1-4",3,"37005",36.404908,-80.987992
52973,11199801,"5-24",5,"37005",36.5053,-81.1231
53089,54194002,"5-24",8,"37005",36.528204,-81.161979
53150,92216003,"5-24",9,"37005",36.398198,-80.986284
53163,52211001,"1-4",3,"37005",36.3899,-80.9929
53177,52211001,"5-24",7,"37005",36.528338,-81.163141
53308,62311011,"1-4",4,"37005",36.5053,-81.1231
53423,56111022,"1-4",2,"37005",36.5053,-81.1231
53458,62431009,"1-4",1,"37005",36.507572,-81.125067
53781,44719005,"1-4",2,"37005",36.496663,-81.136809
54170,53121003,"1-4",4,"37005",36.501919,-81.11621
54262,62111107,"1-4",2,"37005",36.509476,-81.114811
54399,81211202,"1-4",3,"37005",36.491539,-81.105293
54947,92216003,"5-24",7,"37005",36.4513,-81.007
55842,71151033,"1-4",2,"37005",36.461003,-81.105801
56017,62199952,"1-4",1,"37005",36.505958,-81.118209
