"NAME","sch_id","FIPS","LAT","LON","TYPE"
"AULANDER ELEMENTARY","370036000104",37015,36.2144,-77.1061,"Public"
"BERTIE EARLY COLLEGE HIGH","370036003149",37015,36.0335,-77.0141,"Public"
"BERTIE HIGH","370036000101",37015,36.0504,-76.9722,"Public"
"BERTIE MIDDLE","370036002818",37015,36.0477,-76.9651,"Public"
"COLERAIN ELEMENTARY","370036000107",37015,36.1994,-76.7719,"Public"
"WEST BERTIE ELEMENTARY","370036000106",37015,36.158,-77.215,"Public"
"WINDSOR ELEMENTARY","370036002285",37015,35.9877,-76.9214,"Public"
"THREE RIVERS ACADEMY","370036503328",37015,36.223764,-76.925112,"Charter"
"LAWRENCE ACADEMY","01012106",37015,36.010319,-76.768461,"Private"
"BETHEL ASSEMBLY CHRISTIAN ACADEMY","01614585",37015,36.111307,-76.944138,"Private"
